Forest Size, Forest depth,RF_Accuracy,RF_size,Best_Filtered_Accuracy,Best_Filtered_Size,Accuracy Gain,Compression
16,5,0.794,916,0.831,101,0.037,9
16,10,0.829,8824,0.838,498,0.009,18
16,15,0.827,28790,0.832,416,0.005,69
32,5,0.799,1800,0.831,150,0.032,12
32,10,0.827,18422,0.835,833,0.008,22
32,15,0.828,58308,0.836,429,0.008,136
64,5,0.798,3620,0.836,164,0.038,22
64,10,0.829,35554,0.834,702,0.005,51
64,15,0.831,117172,0.833,1284,0.002,91
128,5,0.797,7244,0.836,297,0.039,24
128,10,0.829,71814,0.835,589,0.006,122
128,15,0.831,235552,0.831,421,0.000,560
256,5,0.797,14460,0.836,336,0.039,43
256,10,0.829,141886,0.831,1053,0.002,135
256,15,0.830,473490,,,,
