Model Size (KB), Nodes Count, Train Accuracy, Test Accuracy, F1 Macro, ROC AUC, Training Time
1,40,0.833,0.837,0.814,0.806,0:00:00.926407
2,80,0.849,0.853,0.833,0.824,0:00:02.095030
12,480,0.864,0.857,0.839,0.831,0:00:05.383964
15,600,0.87,0.855,0.836,0.828,0:00:34.351045
16,640,0.867,0.852,0.833,0.825,0:00:42.674510
18,720,0.869,0.853,0.834,0.827,0:00:16.513435
24,960,0.874,0.85,0.831,0.824,0:00:26.134798
32,1280,0.879,0.845,0.825,0.818,0:02:07.943410
36,1440,0.883,0.847,0.828,0.822,0:00:54.820946
48,1920,0.886,0.836,0.816,0.81,0:02:05.959659
56,2240,0.894,0.84,0.822,0.818,0:02:04.049374
64,2560,0.902,0.836,0.817,0.813,0:02:24.119095
128,5120,0.94,0.817,0.797,0.794,0:07:24.255077
2,80,0.849,0.853,0.833,0.824,0:00:00.308347,

6,240,0.859,0.856,0.837,0.828,0:00:02.108751,

