Forest Size, Forest depth, R2, MAE, MSE, 
25, 5, -0.05790089832413692,2356.769395736092,82461829.67591774, 
25, 10, -0.04513994329350424,2336.671376308818,81467131.87208275, 
25, 15, -0.09446798691722824,2401.6889113157563,85312180.8156932, 
50, 5, -0.058620205312180707,2358.434590639586,82517898.60489467, 
50, 10, -0.054321999619603156,2339.611076069131,82182859.74984232, 
50, 15, -0.049739992540720035,2322.922921660149,81825698.99129558, 
100, 5, -0.058971045702132185,2362.6984988015643,82545246.10079475, 
100, 10, -0.05554648249167893,2343.0819982338844,82278306.40103444, 
100, 15, -0.7410983717719006,2416.530843951053,135716074.7377318, 
