Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,Forest Size, Forest Depth, Nodes Count, Model Size (KB),
64,5,0.803904392441497,0.803334934214586,0.803904392441497,0.807047724611035, ,,64,5,3632,90,
64,10,0.829933675384808,0.829879956138172,0.829933675384808,0.831763077519482, ,,64,10,34628,865,
64,15,0.829558253034664,0.829554983257655,0.829558253034664,0.830885409119622, ,,64,15,119538,2988,
Forest Size, Forest depth, Accuracy, F1_macro, F1_micro, AUC ROC, ,,,,,,
4,5,0.797271930922288,0.796600854107288,0.797271930922288,0, ,,4,5,234,5,
4,10,0.81766987861344,0.817605611065436,0.81766987861344,0, ,,4,10,2252,56,
4,15,0.808159179076461,0.808159070922729,0.808159179076461,0, ,,4,15,7782,194,
8,5,0.79076461018646,0.790231092344621,0.79076461018646,0, ,,8,5,476,11,
8,10,0.826429733450131,0.826402547714714,0.826429733450131,0, ,,8,10,4682,117,
8,15,0.822925791515455,0.822907143763405,0.822925791515455,0, ,,8,15,14548,363,
16,5,0.798398197972719,0.797911890847093,0.798398197972719,0, ,,16,5,870,21,
16,10,0.826429733450131,0.82638091265995,0.826429733450131,0, ,,16,10,9192,229,
16,15,0.829558253034664,0.829551310280975,0.829558253034664,0, ,,16,15,27518,687,
32,5,0.796771367788762,0.796288628981571,0.796771367788762,0, ,,32,5,1788,44,
32,10,0.825428607183081,0.825368704918057,0.825428607183081,0, ,,32,10,17688,442,
32,15,0.828056563634088,0.828050615317424,0.828056563634088,0, ,,32,15,56836,1420,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Upperbound,RF_Size,RF_ACC,Filtered_Size,Filtered_ACC
,,,,,,,,8,5,0.797,7.7,0.837
,,,,,,,,16,11,0.797,7.7,0.837
,,,,,,,,32,21,0.798,7.7,0.837
,,,,,,,,64,56,0.817,7.7,0.837
