Epoch, Train Loss, Valid Loss, Accuracy 
1,0.6931471805599453,0.6931471805599453,2.3333333333333335
2,0.6931471805599453,0.6931471805599453,2.3333333333333335
3,0.6931471805599453,0.6931471805599453,2.3333333333333335
4,0.6931471805599453,0.6931471805599453,2.3333333333333335
5,0.6931471805599453,0.6931471805599453,2.3333333333333335
6,0.6931471805599453,0.6931471805599453,2.3333333333333335
7,0.6931471805599453,0.6931471805599453,2.3333333333333335
8,0.6931471805599453,0.6931471805599453,2.3333333333333335
9,0.6931471805599453,0.6931471805599453,2.3333333333333335
10,0.6931471805599453,0.6931471805599453,2.3333333333333335
